CNPJ;IDENTIFICADOR MATRIZ/FILIAL;NOME FANTASIA;SITUAÇÃO CADASTRAL;DATA SITUAÇÃO CADASTRAL;MOTIVO SITUAÇÃO CADASTRAL;NOME DA CIDADE NO EXTERIOR;PAIS;DATA DE INÍCIO ATIVIDADE;CNAE FISCAL PRINCIPAL;CNAE FISCAL SECUNDÁRIA;TIPO DE LOGRADOURO;LOGRADOURO;NÚMERO;COMPLEMENTO;BAIRRO;CEP;UF;MUNICÍPIO;DDD 1;TELEFONE 1;DDD 2;TELEFONE 2;DDD DO FAX;FAX;CORREIO ELETRÔNICO;SITUAÇÃO ESPECIAL;DATA DA SITUAÇÃO ESPECIAL;DESCRIÇÃO;CÓD.SETOR;NOME SETOR
40447449000117;1;"";02;20210118;00;"";"";20210118;4712100;"";RUA;DO OUVIDOR;121;FUNDOS 100;CENTRO;20040030;RJ;6001;21;93403756;"";"";"";"";EDILAINEVENTURA@YAHOO.COM.BR;"";"";Comércio varejista de mercadorias em geral;;
40447883000105;1;"";02;20210118;00;"";"";20210118;9700500;"";RUA;ORLANDO CARDELHAS DOS SANTOS;621;CASA;PARQUE CRUZ ALTA;25561331;RJ;5901;21;27578518;"";"";"";"";FABIOLABERNARDOFOTOGRAFIA@GMAIL.COM;"";"";Serviços domésticos;97;SERVIÇOS DOMÉSTICOS
40448116000102;1;"";02;20210118;00;"";"";20210118;4751201;4752100,4781400,4789008,4772500,4783102;AVENIDA;DAS AMERICAS;6700;STAND 126;BARRA DA TIJUCA;22793080;RJ;6001;21;64898724;"";"";"";"";BGUSMAO48@GMAIL.COM;"";"";Comércio varejista especializado de equipamentos e suprimentos de informática;47;COMÉRCIO VAREJISTA
40448192000118;1;SALVAMOS BEBIDAS;02;20210118;00;"";"";20210118;4723700;4729699,5611205,6204000,6311900,6399200,7020400,7319002,7319003,7319004,7490104,8230001,9319101;AVENIDA;EUGENIO BORGES;5994;LOTE  673;RIO DO OURO;24753000;RJ;5897;21;22243517;"";"";"";"";MONTILHADACAD@GMAIL.COM;"";"";Comércio varejista de bebidas;47;COMÉRCIO VAREJISTA
40448339000170;1;"";02;20210118;00;"";"";20210118;5611201;4930202,5611203;AVENIDA;GEREMARIO DANTAS;01421;      LOJ B;FREGUESIA (JACAREPAGUA);22760400;RJ;6001;21;33462100;"";"";"";"";"";"";"";Restaurantes e similares;56;ALIMENTAÇÃO
40449087000101;1;"";02;20210118;00;"";"";20210118;5620104;"";RUA;NOVA AURORA;17;"LOTE 17;QUADRA B;CASA 30";VILA KOSMOS;21221070;RJ;6001;21;96037205;"";"";"";"";SHANDALIMA@OUTLOOK.COM;"";"";Fornecimento de alimentos preparados preponderantemente para consumo domiciliar;56;ALIMENTAÇÃO
40449201000195;1;"";02;20210118;00;"";"";20210118;4520002;"";RUA;GENI SARAIVA;2329;CASA 2B;CERAMICA;26031481;RJ;5869;21;85871945;"";"";"";"";MARCIO2010RJ@GMAIL.COM;"";"";Serviços de lanternagem ou funilaria e pintura de veículos automotores;45;COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS
40449577000108;1;"";02;20210118;00;"";"";20210118;5620104;5620101,5611203;ESTRADA;DA COVANCA;1836;LOJA;TANQUE;22735020;RJ;6001;21;91325380;"";"";"";"";SABRINAA25PERES@HOTMAIL.COM.BR;"";"";Fornecimento de alimentos preparados preponderantemente para consumo domiciliar;56;ALIMENTAÇÃO
40449992000153;1;"";02;20210118;00;"";"";20210118;4772500;"";RUA;FERNANDO LOBO;3083;LOTE 16;RICARDO DE ALBUQUERQUE;21665070;RJ;6001;21;97641641;"";"";"";"";ANEDIARSP@GMAIL.COM;"";"";Comércio varejista de cosméticos;;
40450719000149;1;"";02;20231203;00;"";"";20210118;5611201;1091102;RUA;FRANCISCO DA COSTA;33;LOJA;SAO JOSE DO IMBASSAI;24931785;RJ;5853;21;75608301;"";"";"";"";QUITUTESDATAY@GMAIL.COM;"";"";Restaurantes e similares;56;ALIMENTAÇÃO
40451376000137;1;"";02;20210118;00;"";"";20210118;4754701;9609299;RUA;BENJAMIN CONSTANT;132;CASA;SANTANA;24110002;RJ;5865;21;66030612;"";"";"";"";BRAGANAVAL@GMAIL.COM;"";"";Comércio varejista de móveis;47;COMÉRCIO VAREJISTA
40451515000122;1;"";02;20210118;00;"";"";20210118;4322302;"";RUA;RONDA ALTA;SN;CONJ LT:21;GUARATIBA;23031320;RJ;6001;21;89038297;"";"";"";"";EDSONBORGESJR0@GMAIL.COM;"";"";Instalação e manutenção de sistemas centrais de ar condicionado;;
40451899000183;1;"";02;20210118;00;"";"";20210118;5620101;5620104,1096100,1091102,5611201,5611204,5611203,1094500,8230001;AVENIDA;ZUMBI DOS PALMARES;SN;"QUADRA 68;LOTE 12";BARROCO (ITAIPUACU);24936530;RJ;5853;21;26341317;"";"";"";"";CHEFJULIORODRIGUES@GMAIL.COM;"";"";Fornecimento de alimentos preparados preponderantemente para empresas;56;ALIMENTAÇÃO
40452151000103;1;"";02;20210118;00;"";"";20210118;9602501;"";ESTRADA;MARECHAL MALLET;330;CONJ;MAGALHAES BASTOS;21745091;RJ;6001;21;66680444;"";"";"";"";MARCELLENTRANCISTA@OUTLOOK.COM;"";"";Cabeleireiros;96;OUTRAS ATIVIDADES DE SERVIÇOS PESSOAIS
40452151000103;1;"";02;20210118;00;"";"";20210118;9602501;"";ESTRADA;MARECHAL MALLET;330;CONJ;MAGALHAES BASTOS;21745091;RJ;6001;21;66680444;"";"";"";"";MARCELLENTRANCISTA@OUTLOOK.COM;"";"";Cabeleireiros;;
40453028000107;1;"";02;20210119;00;"";"";20210119;5612100;"";AVENIDA;ALBERTO DE OLIVEIRA;SN;"LOTE 16;QUADRA 26C";VILA SAO JOAO;25570341;RJ;5901;21;26508740;"";"";"";"";AGNALDOJOSEREIS17@GMAIL.COM;"";"";Serviços ambulantes de alimentação;56;ALIMENTAÇÃO
40454507000130;1;"";02;20210119;00;"";"";20210119;4399103;"";RUA;NICOLAU POLICARPO;300;CASA 63;SANTA ISABEL;24738765;RJ;5897;21;37111784;"";"";"";"";ALVESCLAUDIA1602@GMAIL.COM;"";"";Obras de alvenaria;43;SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO
40454624000101;1;ARMAZEM 4;02;20210119;00;"";"";20210119;4712100;4721103,4722901,4723700,5620104;RUA;LUIZ CARLOS SAROLLI TEC FUTE;01850;      BLC 2 LOJ F BLC 2         LOJ G;RECREIO DOS BANDEIRANTES;22790880;RJ;6001;21;71121187;"";"";"";"";"";"";"";Comércio varejista de mercadorias em geral;;
40455900000148;1;"";02;20210119;00;"";"";20210119;5612100;"";RUA;ALCIDES FIDELIS RIBEIRO;SN;CASA;BOCAINA;28740000;RJ;5827;22;88091001;"";"";"";"";REGINACELIAFPENNA@YAHOO.COM.BR;"";"";Serviços ambulantes de alimentação;56;ALIMENTAÇÃO
40455991000111;1;"";02;20210119;00;"";"";20210119;9529102;"";ESTRADA;DO TIMBO;SN;BANCA EM FRENTE AO N 52;HIGIENOPOLIS;21061280;RJ;6001;21;21359137;"";"";"";"";AUX.FISCAL.ATC@GMAIL.COM;"";"";Chaveiros;95;REPARAÇÃO E MANUTENÇÃO DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO E DE OBJETOS PESSOAIS E DOMÉSTICOS
40456221000193;1;"";02;20210119;00;"";"";20210119;4721102;"";RUA;DEOCLECIO MACHADO;L43Q34;"LOTE 43;QUADRA 34";RECANTO DE ITAIPUACU (ITAIPUACU);24937005;RJ;5853;21;85863628;"";"";"";"";LEANDRO.ABEL@YAHOO.COM.BR;"";"";Padaria e confeitaria com predominância de revenda;47;COMÉRCIO VAREJISTA
40457174000100;1;KIDS CARIOCA;02;20210119;00;"";"";20210119;4781400;4782201,4789099;AVENIDA;VICENTE DE CARVALHO;00909;      LOJ 201;VICENTE DE CARVALHO;21210623;RJ;6001;21;71234839;"";"";"";"";CONTATO@LIMAEBRITES.COM.BR;"";"";Comércio varejista de artigos do vestuário e acessórios;47;COMÉRCIO VAREJISTA
